AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2013-14,40,6.8,6.5,6.6,3,"3,140","47,492",99.8%
National,,All,2013-14,41,6.9,6.6,6.7,12,"3,135","47,304",99.4%
National,,All,2013-14,42,7,6.7,6.8,11,"3,216","47,602",> 100%
National,,All,2013-14,43,7.1,6.7,6.6,11,"3,151","47,746",> 100%
National,,All,2013-14,44,7.2,6.9,6.7,12,"3,271","48,777",> 100%
National,,All,2013-14,45,7.3,7,7,17,"3,429","48,939",> 100%
National,,All,2013-14,46,7.4,7.1,6.7,15,"3,320","49,409",> 100%
National,,All,2013-14,47,7.5,7.2,7,28,"3,430","49,591",> 100%
National,,All,2013-14,48,7.6,7.3,6.9,33,"3,385","49,287",> 100%
National,,All,2013-14,49,7.7,7.4,7.2,42,"3,594","50,812",> 100%
National,,All,2013-14,50,7.8,7.5,7.6,68,"3,856","51,848",> 100%
National,,All,2013-14,51,7.9,7.6,7.7,107,"3,917","52,548",> 100%
National,,All,2013-14,52,8,7.7,8,207,"3,942","51,954",> 100%
National,,All,2013-14,1,8.1,7.8,9.1,351,"4,511","53,531",> 100%
National,,All,2013-14,2,8.2,7.8,9.8,461,"4,999","55,821",> 100%
National,,All,2013-14,3,8.3,7.9,10,474,"5,005","54,588",> 100%
National,,All,2013-14,4,8.3,8,9.7,442,"4,783","54,097",> 100%
National,,All,2013-14,5,8.3,8,9.3,385,"4,623","53,967",> 100%
National,,All,2013-14,6,8.4,8,9,315,"4,476","53,408",> 100%
National,,All,2013-14,7,8.4,8,8.6,271,"4,385","53,834",> 100%
National,,All,2013-14,8,8.4,8,8,209,"3,990","52,673",> 100%
National,,All,2013-14,9,8.4,8,7.8,161,"3,868","51,695",> 100%
National,,All,2013-14,10,8.3,8,8,125,"4,048","52,065",> 100%
National,,All,2013-14,11,8.3,7.9,7.8,93,"3,942","51,787",> 100%
National,,All,2013-14,12,8.2,7.9,7.6,74,"3,834","51,399",> 100%
National,,All,2013-14,13,8.2,7.8,7.6,65,"3,797","50,888",> 100%
