"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Pink sang the #NationalAnthem wth the #flu and #CRUSHEDIT! 
#SuperBowl2018 #FlyEagelsFly",FALSE,0,"Pink",2018-02-04 23:59:42,FALSE,NA,"960301871192735745","28706024","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","lizsimon3",0,FALSE,FALSE,NA,NA
"2","RT @AAPNews: New @CDCgov data shows 53 children have died from #flu. People 6 months and older should be vaccinated as flu continues to be…",FALSE,0,NA,2018-02-04 23:58:29,FALSE,NA,"960301564786339841",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jruizhealy",60,TRUE,FALSE,NA,NA
"3","@Kdotmart @Goatronica That anthem under tho #flu",FALSE,2,"Kdotmart",2018-02-04 23:56:10,FALSE,"960300609797869568","960300983543877634","37459051","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BobbyGC84",0,FALSE,FALSE,NA,NA
"4","@DarrenLukenbill You can't take a sick day... you're taking over for someone who REALLY is sick, remember? #Flu… https://t.co/DVJ4haxr0t",FALSE,0,"DarrenLukenbill",2018-02-04 23:55:34,TRUE,"960299634831872000","960300832901263360","3931841653","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","anna_verdon",0,FALSE,FALSE,NA,NA
"5","@amelievondollar ������I'm sorry you are down with the #flu, Amelie. I hope we both feel better soon. I got my #flushot already, so we shall see!",FALSE,1,"amelievondollar",2018-02-04 23:55:28,FALSE,"960258354856816641","960300804656701440","302765078","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","DrBobbyS",0,FALSE,FALSE,NA,NA
"6","RT @OscilloUSA: #Lemons are loaded with Vitamin C &amp; potassium to help your immune system fight #colds &amp; #flu. Learn more at: https://t.co/l…",FALSE,0,NA,2018-02-04 23:55:00,FALSE,NA,"960300688877215745",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vilmicrissien",1,TRUE,FALSE,NA,NA
"7","RT @tabithablue: 5 Healing Winter #EssentialOil Blends You Need to #Diffuse in Your Home During Cold and #Flu Season! https://t.co/8HnOR4Ez…",FALSE,0,NA,2018-02-04 23:51:44,FALSE,NA,"960299868823719936",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","ItsAHero",8,TRUE,FALSE,NA,NA
"8","Watching the Super Bowl from bed this year... #canbothteamslose #flu https://t.co/dauYNyzVQ0",FALSE,0,NA,2018-02-04 23:51:25,FALSE,NA,"960299786766307328",NA,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","Kymiekat4",0,FALSE,FALSE,NA,NA
"9","#Lemons are loaded with Vitamin C &amp; potassium to help your immune system fight #colds &amp; #flu. Learn more at:… https://t.co/iFzh8NB7gW",FALSE,1,NA,2018-02-04 23:51:02,TRUE,NA,"960299691970912256",NA,"<a href=\"http://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>","BoironUSA",0,FALSE,FALSE,NA,NA
"10","#Lemons are loaded with Vitamin C &amp; potassium to help your immune system fight #colds &amp; #flu. Learn more at:… https://t.co/ysh7pZy8Mw",FALSE,0,NA,2018-02-04 23:51:02,TRUE,NA,"960299691438149632",NA,"<a href=\"http://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>","OscilloUSA",1,FALSE,FALSE,NA,NA
