text,size
students,627	
school,622	
gun,617	
shooting,329	
parkland,311	
violence,303	
people,287	
high,287	
douglas,239	
stoneman,211	
march,201	
sheriff,196	
back,169	
washington,157	
time,151	
day,150	
building,147	
college,146	
guns,135	
don,132	
make,132	
student,131	
video,129	
research,129	
parents,129	
fla,124	
gunman,122	
officers,117	
control,116	
sunday,115	
office,114	
police,114	
friends,114	
year,111	
saturday,110	
killed,107	
mass,106	
peterson,106	
inside,103	
shootings,103	
times,100	
daily,98	
marjory,97	
baltimore,96	
national,94	
stalin,90	
hogg,89	
state,86	
listen,86	
movie,85	
week,84	
called,83	
city,82	
florida,82	
lives,82	
group,81	
life,81	
chicago,81	
county,79	
israel,79	
schools,78	
radio,78	
wednesday,78	
health,78	
shot,76	
deputy,75	
including,74	
cruz,74	
home,74	
twitter,73	
teachers,73	
left,73	
voice,73	
university,73	
show,71	
place,70	
rally,70	
response,69	
month,67	
york,67	
law,67	
stop,67	
mother,66	
laws,66	
ve,66	
long,65	
classmates,65	
change,63	
news,62	
story,62	
find,62	
thursday,60	
part,60	
money,60	
white,59	
children,59	
broward,58	
call,58	
