text,size
school,3404	
gun,3214	
shooting,1786	
people,1507	
violence,1386	
chicago,1145	
laws,1065	
narrative,1019	
march,1014	
democrats,994	
realcandaceo,986	
run,977	
gunned,969	
hrs,966	
chicag,965	
high,830	
youtube,656	
vegan,572	
amp,533	
female,520	
parkland,506	
control,496	
education,477	
muslim,472	
yesterday,450	
libs,449	
nra,441	
year,412	
state,370	
liberals,367	
pretty,361	
columbine,353	
quiet,349	
students,343	
edelman,328	
julian,317	
town,312	
guns,299	
years,280	
paul,276	
nmaybe,276	
survivor,270	
shooter,260	
stoneman,259	
douglas,258	
day,255	
don,255	
legally,250	
april,250	
marks,243	
work,239	
didn,238	
john,234	
tragedy,230	
honor,229	
hq,228	
wear,228	
anniversary,218	
barnitt,213	
angels,210	
orange,210	
florida,208	
liberal,205	
wi,201	
campus,198	
instagram,190	
shoots,189	
registered,186	
today,186	
media,183	
concerts,182	
kids,176	
time,174	
public,174	
month,173	
marjory,173	
issue,172	
stricter,172	
hall,171	
candidate,170	
family,168	
amendment,164	
gop,164	
make,163	
nutjob,163	
patriots,162	
mass,159	
nhttps,156	
foxnews,155	
running,154	
ryan,153	
arrested,150	
texas,149	
trump,149	
news,147	
advocates,145	
support,143	
friends,143	
lives,143	
private,142	
