text,size
school,57	
students,48	
shooting,37	
building,31	
sheriff,31	
peterson,28	
parkland,27	
douglas,26	
movie,25	
video,25	
people,24	
officers,24	
police,23	
stoneman,22	
march,22	
radio,21	
high,21	
office,20	
college,20	
gunman,20	
gun,20	
back,18	
time,16	
violence,16	
inside,14	
michael,14	
cruz,14	
law,13	
sunday,13	
released,13	
hogg,13	
parents,13	
fla,13	
washington,13	
red,12	
saturday,12	
springs,12	
coral,12	
israel,12	
story,12	
deputy,12	
billboards,12	
including,12	
student,12	
mcdonagh,11	
make,11	
mother,11	
dominika,11	
group,11	
killed,11	
year,11	
county,10	
movies,10	
girl,10	
show,10	
thursday,10	
marjory,10	
lawrence,10	
part,10	
system,10	
quickly,10	
friends,10	
broward,9	
sparrow,9	
don,9	
mildred,9	
officer,9	
watching,9	
fired,9	
recordings,9	
white,9	
freshman,9	
week,9	
surveillance,9	
event,9	
called,9	
feb,9	
university,9	
scene,9	
soldiers,9	
daughter,8	
murder,8	
shots,8	
minute,8	
groups,8	
love,8	
place,8	
response,8	
calls,8	
timeline,8	
political,8	
doesn,8	
rally,8	
makes,8	
dafna,8	
enforcement,8	
staff,8	
state,8	
made,8
knoop,8
